def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	(NH4)C6H8O5	178.071547		C6H12NO5	178.0579	178.0852		0.00										0								
1	1	(NH4)C7H12O4	178.107933		C7H16NO4	178.0943	178.1216		0.00										0								
1	1	(NH4)C8H16O3	178.144318		C8H20NO3	178.1306	178.1580		0.00										0								
1	1	C6H11O6+	179.055014		C6H11O6	179.0411	179.0690		0.00										1								
1	1	(NH3)(NH4)C5H4O5+	179.066248		C5H11N2O5	179.0524	179.0802		0.00										1								
1	1	(NH3)(NH4)C6H8O4+	179.102633		C6H15N2O4	179.0887	179.1165		0.00										1								
1	1	(NH4)C5H6O6	180.050812		C5H10NO6	180.0370	180.0646		0.00										0								
1	1	C13H8O	180.057515		C13H8O	180.0437	180.0713		0.00										0								
1	1	C10H12O3+	180.078096		C10H12O3	180.0643	180.0920		0.00										1								
1	1	(NH3)(NH4)C9H5O2	180.089878		C9H12N2O2	180.0760	180.1036		0.00										0								
1	1	(NH4)C7H14O4	180.123583		C7H18NO4	180.1098	180.1374		0.00										0								
1	0	(NH4)C8H18O3	180.159969		C8H22NO3	180.1462	180.1738		0.00										0								
1	1	C5H9O7	181.034828		C5H9O7	181.0210	181.0487		0.00										0								
1	1	(NH3)(NH4)C4H2O6	181.046061		C4H9N2O6	181.0322	181.0600		0.00										0								
1	0	(NH4)C5H7O6	181.058637		C5H11NO6	181.0448	181.0726		0.00										0								
1	1	C6H13O6+	181.070665		C6H13O6	181.0566	181.0846		0.00																		
1	1	(NH3)(NH4)C5H6O5	181.082447		C5H13N2O5	181.0686	181.0964		0.00										0								
1	1	C11H17O2+	181.122306		C11H17O2	181.1083	181.1363		0.00																		
1	1	C5H10O7	182.042653		C5H10O7	182.0287	182.0566		0.00										0								
1	1	C9H10O4	182.057909		C9H10O4	182.0440	182.0719		0.00										0								
1	1	(NH4)C5H8O6	182.066462		C5H12NO6	182.0525	182.0803		0.00										0								
1	1	C6H14O6	182.079038		C6H14O6	182.0651	182.0930		0.00										0								
1	1	(NH4)C10H12O2+	182.117555		C10H16NO2	182.1034	182.1316		0.00										1								
1	1	C8H7O5+	183.028800		C8H7O5	183.0147	183.0431		0.00										1								
1	1	C5H11O7+	183.049929		C5H11O7	183.0358	183.0642		0.00										1								
1	1	C9H11O4+	183.065185		C9H11O4	183.0510	183.0794		0.00										1								
1	1	(NH3)(NH4)C5H8O5+	183.097548		C5H15N2O5	183.0834	183.1117		0.00																		
1	1	C10H15O3+	183.101571		C10H15O3	183.0874	183.1158		0.00										1								
1	1	C11H19O2+	183.137956		C11H19O2	183.1238	183.1520		0.00																		
1	1	(NH4)C4H6O7	184.045727		C4H10NO7	184.0316	184.0598		0.00										0								
1	1	(NH4)C8H6O4	184.060983		C8H10NO4	184.0469	184.0750		0.00										0								
1	1	(NH4)C5H10O6	184.082112		C5H14NO6	184.0680	184.0962		0.00										0								
1	1	(NH4)C10H14O2	184.133754		C10H18NO2	184.1196	184.1478		0.00										0								
1	1	C8H9O5+	185.044450		C8H9O5	185.0302	185.0588		0.00										1								
1	1	(H3O)C5H10O6+	185.065579		C5H13O7	185.0514	185.0798		0.00																		
1	1	C9H13O4+	185.080835		C9H13O4	185.0665	185.0952		0.00										1								
1	1	C10H17O3+	185.117221		C10H17O3	185.1029	185.1316		0.00										1								
1	1	(NH4)C7H4O5	186.040247		C7H8NO5	186.0260	186.0544		0.00										0								
1	1	(NH4)C8H8O4	186.076633		C8H12NO4	186.0624	186.0908		0.00										0								
1	1	(NH4)C9H12O3	186.113018		C9H16NO3	186.0988	186.1272		0.00										0								
1	1	(NH4)C10H16O2	186.149404		C10H20NO2	186.1352	186.1637		0.00										0								
1	1	(NH4)C11H20O	186.185789		C11H24NO	186.1715	186.2000		0.00										0								
1	1	<unknown1046>	187.046703			187.0322	187.0612																				
1	0	C8H11O5+	187.060100		C8H11O5	187.0457	187.0746		0.00										1								
1	1	(NH4)C4H9O7+	187.068653		C4H13NO7	187.0542	187.0831		0.00										1								
1	1	C9H15O4+	187.096485		C9H15O4	187.0820	187.1109		0.00										1								
1	1	(NH4)C7H6O5	188.055897		C7H10NO5	188.0416	188.0703		0.00										0								
1	1	(NH4)C8H10O4	188.092283		C8H14NO4	188.0779	188.1066		0.00										0								
1	1	(NH4)C9H14O3	188.128668		C9H18NO3	188.1143	188.1430		0.00										0								
1	1	(NH4)C10H18O2	188.165054		C10H22NO2	188.1507	188.1794		0.00										0								
1	1	(NH4)C11H22O	188.201439		C11H26NO	188.1871	188.2158		0.00										0								
1	0	<unknown1499>	188.849000			188.8345	188.8635																				
1	1	C7H9O6+	189.039364		C7H9O6	189.0249	189.0539		0.00																		
